,Time,Tweet,Analysis,Category
0,2022-11-14 20:58:25+00:00,"Noida: The person who offered a car to the security in-charge was arrested from Gurugram, the accused of rape was sent to jail by the police https://t.co/nk6FDsMWuW",-0.8225,CRIME
1,2022-11-14 19:30:16+00:00,A similar incident occurred in October 2021 on the Delhi-Gurugram highway outside Delhi airport. https://t.co/7KoV31ssch,0.0,TRAVEL
2,2022-11-14 17:25:03+00:00,Man Jumped Before Train Along With Son After Wife Eloped: Gurugram Cops https://t.co/ZiIr8WX5me https://t.co/ywc1ZA4KZa,0.0,PARENTING
3,2022-11-14 14:58:55+00:00,"Gurugram dog wedding | Neighbours got their pet dog hitched with Band, Baaja &amp; Baraat https://t.co/wey2LGjKXD 
#NewsInVids #NewsInVidsIndia",0.0,WEIRD NEWS
4,2022-11-14 14:54:46+00:00,"Harrowing Murder: Authorities Arrest BF for Strangling &amp; Dismembering GF in Gurugram  
 
After chopping his gf up into 35 parts, it's reported the suspect brought a friend to help store &amp; hide the remains. For days it's claimed the man strolled into the jungle to dispose of her.",-0.6249,CRIME
5,2022-11-14 13:47:26+00:00,"‘Jab Sheru Weds Sweety’: Gurugram Couple Gets Pet Dogs Sheru and Sweety Married with Hindu Rituals

#Gurugramnews #video #shikshanews #india #news 

https://t.co/ypFzYLeFO0",0.0,WEIRD NEWS
6,2022-11-14 13:33:12+00:00,"📍Gurugram

✨Get to know the Fetch Ecosystem: Cosmpy Meetup by @Tr_92_  

Wen? 20th Nov | 4 PM - 6 PM IST
https://t.co/S9Ce0U2PND",0.0,BUSINESS
7,2022-11-14 11:57:33+00:00,"Sheru Weds Sweety: Gurugram Couple Celebrates Dog Wedding With Haldi, Mehendi #IndiaPolitics #IndianPoliticsNews #Election #IndianElection [Video] https://t.co/hXDiFVGOLh",0.5719,TRAVEL
8,2022-11-14 11:36:23+00:00,The deceased #Shraddha (26) hailed from Mumbai and used to live in a flat in South Delhi's Mehrauli with Poonawalla. She used to work at a call center while the accused worked at a private firm in Gurugram. Her family didn’t approve of her relationship. 2/6,-0.0772,TRAVEL
9,2022-11-14 09:27:13+00:00,"Gurugram: In a peculiar incident, a Gurugram couple got their pet dog married to a neighbourhood canine by following similar rituals of a traditional Indian wedding. Sheru (male dog) and Sweety (female dog) took the ‘Pheras’ today. According to the pet owners, for the marriage, 1 https://t.co/OPyYkNpOzp",0.1531,WOMEN
10,2022-11-14 09:03:31+00:00,"Gurugram Couple Celebrates Dog Wedding With Haldi, Mehendi see full article at https://t.co/Y8jkU7BDF6
&lt;br&gt;
#DogNews https://t.co/pL4oN0DuGX",0.5719,TRAVEL
11,2022-11-14 08:47:42+00:00,"Gurugram Couple Celebrates Dog Wedding With Haldi, Mehendi see full article at https://t.co/nZyPVk1Ssx
&lt;br&gt;
#DogNews https://t.co/tBw1OvQXs0",0.5719,TRAVEL
12,2022-11-14 08:14:43+00:00,"Gurugram: DTCP wants a pause on lease deeds of Brisk Infrastructure &amp; Raheja Developers

Read More - https://t.co/obLcQM0kF4

#news #realestatenews #BreakingNews #gurugram #dtcp #larisarealtech #realestateinvesting https://t.co/sY4YV0ovez",0.1531,WOMEN
13,2022-11-14 07:25:04+00:00,"In a peculiar incident, two dogs were married by their owners following similar rituals of a traditional Indian wedding in Gurugram's Palam Vihar extension on Sunday evening

https://t.co/PolyJiyjzR https://t.co/9oKU3Z5Vra",0.1531,WOMEN
14,2022-11-14 06:37:14+00:00,A first: Two street dogs exchange vows in Gurugram | Gurgaon News – Times of India https://t.co/KaITFWMYt7,0.0,TRAVEL
15,2022-11-14 06:32:24+00:00,"Furry Wedding With Dhols, Baraatis Of These Gurugram Dogs      https://t.co/AeL0BRGe3B",0.0,TRAVEL
16,2022-11-14 06:29:53+00:00,"NDTV: At Gurugram Dog Wedding, Dhols, Baraatis And A Haldi Ceremony

https://t.co/nhO06l0bal 

#NewsInVids #NewsInVidsCom #WorldNewsInVids #NewsVideos #NewsInVideos",0.0,TRAVEL
17,2022-11-14 06:07:30+00:00,"Intel sources told CNN-News18 that #terror groups had started employing a new modus operandi to identify local boys on social media, pay them money, and put them on the job. The money is usually paid by #bitcoin by a Gurugram entity | @manojkumargupta 

https://t.co/wYS4LDdLWK https://t.co/mAzwFTvz2M",-0.5859,BUSINESS
18,2022-11-14 05:40:55+00:00,Dogs Wedding: Sheru weds Sweety: Gurugram couple conducts full marriage rituals for pet dogs https://t.co/FTUsWMhU4T via @Babushahikhabar,0.0,WOMEN
19,2022-11-14 05:24:07+00:00,"Air still 'poor' in Gurugram, set to worsen by mid-week https://t.co/63bSQkXkXm",-0.7506,WOMEN
20,2022-11-14 04:25:57+00:00,Sheru Weds Sweety: Unique Marriage In Gurugram https://t.co/A6l1JOJuT5 #uniquemarriage,0.0,TRAVEL
21,2022-11-14 03:34:11+00:00,Sheru weds Sweety! Childless couple conducts pet dogs' marriage with traditional rituals in Gurugram  https://t.co/cO5t6TPN8k #ViralNews,0.0,PARENTING
22,2022-11-14 03:19:24+00:00,"At Gurugram Dog Wedding, Dhols, Baraatis And A Haldi Ceremony https://t.co/4zjTORCVZm",0.0,TRAVEL
23,2022-11-14 02:07:14+00:00,"Unique Wedding Of Dog In Gurugram, Process With Pomp https://t.co/vLLR3Gz7kT",0.0,TRAVEL
24,2022-11-14 00:06:32+00:00,"Gurugram: Hitched! Sweety, Sheru exchange vows with a woof https://t.co/Dy3gbqHFVI",0.0,TRAVEL
25,2022-11-13 23:57:43+00:00,"Dog Wedding In Gurugram Performed With Traditional Rituals, Including Haldi https://t.co/exRkJoQA4h",0.0,WOMEN
26,2022-11-13 22:41:42+00:00,"Dog Wedding Event In Gurugram Carried Out With Conventional Routines, Consisting Of Haldi see full article at https://t.co/UlCFag8fvD
&lt;br&gt;
#DogNews https://t.co/bc9xQDLjtN",0.0,WOMEN
27,2022-11-13 22:22:28+00:00,Dog wedding in Gurugram with traditional rituals including Haldi https://t.co/ikMXiHWWl4,0.0,WOMEN
28,2022-11-13 21:20:41+00:00,"Dog Wedding In Gurugram Performed With Traditional Rituals, Including Haldi https://t.co/91zVVFI6ZA",0.0,WOMEN
29,2022-11-13 20:35:02+00:00,"Dog Wedding In Gurugram Performed With Traditional Rituals, Including Haldi https://t.co/fUJF1hIsZR https://t.co/sPShSZzBhK",0.0,TRAVEL
30,2022-11-13 19:59:58+00:00,"Bird knotted in kite string conserved in Gurugram after kids raise alarm see full article at https://t.co/CRG7IMgEON
&lt;br&gt;
#BirdNews https://t.co/ACwkdCGSwB",-0.34,TRAVEL
31,2022-11-13 19:49:58+00:00,"Sheru weds Sweety: Gurugram couple conducts full marriage rituals for pet dogs

#SheruwedsSweety #petlovers #dogs #Gurugram https://t.co/eYR1kEEPZ6",0.0,WOMEN
32,2022-11-13 19:32:01+00:00,Sheru weds Sweety: Gurugram couple conducts full marriage rituals for pet dogs - https://t.co/gKu3HftoW2 via @the_newsmill,0.0,WOMEN
33,2022-11-13 18:36:04+00:00,"Gurugram: Five abduct &amp; sodomise taxi driver, nabbed | Gurgaon News https://t.co/VziDwg6D0Z",0.0,TRAVEL
34,2022-11-13 17:11:53+00:00,"Gurugram: Five abduct &amp; sodomise taxi driver, nabbed | Gurgaon News – Times of India https://t.co/KNRVkn6QEQ",0.0,TRAVEL
35,2022-11-13 14:47:56+00:00,Gurugram Youth Cheated In The Name Of Investment In Crypto Currency https://t.co/os3Az6vaHY,-0.5106,BUSINESS
36,2022-11-13 13:31:59+00:00,"Good news for Gurugram folks! 🤌🏻

We've set up our Pod at WellM to help you with Meditation, focus &amp; stress level tracking, and recommendations by an in-house psychologist to help you relax and unwind with Neuphony!🧘🏻‍♂️

Find us at Gurugram, and book your pod session now! https://t.co/uv7HxG3qRP",0.851,WOMEN
37,2022-11-13 09:21:39+00:00,"#National: This unique wedding of the dogs named Sheru (male) and Sweety (female), for which 100 invitation cards have been printed, has their entire locality excited and they will be attending the marriage ceremony as ‘baraatis’.

#eastnews #Gurugram 

https://t.co/gRh6aTgXUl",0.34,WEIRD NEWS
38,2022-11-13 09:12:06+00:00,"‘Sheru Te Sweety Di Wedding’: Neighbours In #Gurugram To Get Their Dogs Married

 https://t.co/cIyKzlkXHA",0.0,TRAVEL
39,2022-11-13 05:30:15+00:00,@TrafficGGM @gurgaonpolice @IGtraffic_hry @police_haryana @DC_Gurugram Good news alert now in Faridabad no challan can happen 😂👍. Don’t use HSRP use fancy plates and hide them just like autos  and you can rule the road ⚡️ https://t.co/mqVpOjjLdQ,0.765,TRAVEL
40,2022-11-13 05:29:10+00:00,@wrwre @MeraGurgaon @CPCB_OFFICIAL @mlkhattar @narendramodi @MunCorpGurugram @DC_Gurugram @JanAashirwad @cmohry @ulbharyana @HspcbN @AAPHaryana @nishantyadavIAS @ramanmalik @aicatindia @MoRD_GoI @MinOfPower @mopr_goi @DEFCCOfficial @CimGOI @csharyana And it is written in news that he has not reverted to call and messages. Blatant attitude for a public officer not to be responsible of his duties.,-0.2411,
41,2022-11-13 05:07:42+00:00,Reliance unit to build smart city near Gurugram | Major highlights of MET City https://t.co/zbyrUjLPW2,0.4019,WOMEN
42,2022-11-13 03:15:20+00:00,"'Sheru Te Sweety Di Wedding': Neighbours in Gurugram to get their dogs married
#saralbharatnews #Pet #Wedding #marriage #Dogs https://t.co/uLZLoiTmWF",0.0,WOMEN
43,2022-11-13 00:23:04+00:00,"Gurugram: Five abduct &amp; sodomise taxi driver, nabbed https://t.co/kE21ofzfOh",0.0,TRAVEL
44,2022-11-13 00:22:33+00:00,"Gurugram: Three on bike stop truck, rob driver of his phone and Rs 1,600 https://t.co/FQnd6cMiQB",-0.7003,TRAVEL
45,2022-11-13 00:16:09+00:00,"Gurugram: Five abduct &amp; sodomise taxi driver, nabbed | Gurgaon News-HP NEWS https://t.co/GO5IhZ9wmb",0.0,TRAVEL
46,2022-11-12 22:57:25+00:00,"'Sheru Te Sweety Di Wedding': Neighbours in Gurugram to get their dogs married

#Pet #Wedding #marriage #Dogs https://t.co/zsHrlH1CYR",0.0,WOMEN
47,2022-11-12 15:05:19+00:00,"#breakingnews An earthquake hit Delhi and NCR on Saturday. Earthquake tremors were felt in Delhi, Noida, Gurugram, Faridabad and other areas of the National Capital Region (NCR). https://t.co/32qRtyeZli",0.0,WORLDPOST
48,2022-11-12 14:43:50+00:00,"#Earthquake in Delhi-NCR: Tremors Jolt National Capital, Noida, Gurugram and Surrounding Areas - LatestLY #News https://t.co/cjikTBFVhY 
#News #BreakingNews",0.0,TRAVEL
49,2022-11-12 14:41:12+00:00,"Earthquake Tremors Felt In Delhi, Neighbouring Areas
Delhi earthquake: The severe tremors lasted for nearly 5 seconds and were reported from Noida and Gurugram as well. #earthquake #delhi #ncr",-0.128,WORLDPOST
50,2022-11-12 13:56:18+00:00,"Gurugram’s Chintels Paradiso residents begin Protest 2.0
Allege their voices not heard; Declare they’re ready for a long battle.
@chintelsgroup @ChintelsOwners @cParadisoLost
@SonamAr40945423 @varund @DC_Gurugram #ChintelsParadiso

Read full story 👇
https://t.co/ikYT5zVK3e",-0.2732,POLITICS
51,2022-11-12 12:40:55+00:00,Press Trust of India: Bouncers thrash 5 men in Gurugram bar – Press Trust of India https://t.co/bABdJhwpI0,0.765,WOMEN
52,2022-11-12 12:15:36+00:00,Gurugram: Rera court asks Vatika to refund homebuyer’s money with interest | Gurgaon News – Times of India https://t.co/PsrQzUOCKA,0.4588,MONEY
53,2022-11-12 11:30:03+00:00,Gurugram: Rera court asks Vatika to refund homebuyer’s money with interest | Gurgaon News https://t.co/ivPMTxLn8e,0.4588,MONEY
54,2022-11-12 11:25:00+00:00,Gurugram: Rera court asks Vatika to refund homebuyer's money with interest https://t.co/PkPhgV42Sj,0.4588,MONEY
55,2022-11-12 11:15:36+00:00,Gurugram: Rera court asks Vatika to refund homebuyer’s money with interest | Gurgaon News-HP NEWS https://t.co/j0YzSbaGui,0.4588,MONEY
56,2022-11-12 09:49:49+00:00,"Plotted Advancements: A salable property and pattern in Gurugram's home markets see full article at https://t.co/QYx9NP9Q4n
&lt;br&gt;
#PetFinancialNews https://t.co/EHRdMpJZqh",0.0,TRAVEL
57,2022-11-12 09:33:52+00:00,"Plotted Advancements: A salable property and pattern in Gurugram's home markets see full article at https://t.co/hsAphWuy5g
&lt;br&gt;
#PetFinancialNews https://t.co/IpoN9Dt5pF",0.0,TRAVEL
58,2022-11-12 08:57:51+00:00,"The real estate regulatory authority (RERA) Gurugram has directed Vatika Limited to refund full amount to the allottee to whom the builder failed to deliver the unit even after a delay of more than five years.
#OmmcomNews https://t.co/HNkgMBURUu",-0.7351,TRAVEL
59,2022-11-12 04:59:52+00:00,"Rape-Accused Noida Man, Who Ran Over Guard To Escape, Caught In Gurugram https://t.co/qdIreUQyaX",0.1779,CRIME
60,2022-11-12 02:57:15+00:00,"@joedelhi @UPGovt @CMOfficeUP @myogiadityanath @Singhiskingh39 @sanjay_daddy @punitarora007 @PunitaS44575106 @sharmaleena @Kansal14Anu @TheViditsharma @ashukla30 @SENTHILSSK1982 @SunjayJK This is all part of propaganda only, think about it are there not dogs in other cities or they dont bite ? Why are 99% cases are coming from delhi, noida, Ghaziabad?
Why no news from Bangalore, calcutta, mumbai, chennai, gurugram? Media is spreading this hate propaganda",-0.8783,TRAVEL
61,2022-11-12 00:24:03+00:00,Noida: Getaway executive who knocked down man found in Gurugram office | Noida News – Times of India https://t.co/vjBNG5NO9c,0.0,TRAVEL
62,2022-11-12 00:16:32+00:00,Delhi-ncr Air In Very Poor Category Gurugram Air Most Toxic No Relief For Next Two Days https://t.co/zwsMKfe9HL,-0.7125,TRAVEL
63,2022-11-11 20:14:33+00:00,"Noida Man Accused of Rape, Escaping Guards, Caught in Gurugram https://t.co/cpEkcBzbMp",-0.7717,PARENTING
64,2022-11-11 19:30:23+00:00,"Rape-Accused Noida Man, Who Ran Over Guard To Escape, Caught In Gurugram https://t.co/QpO1Tg4i88",0.1779,CRIME
65,2022-11-11 19:23:16+00:00,"Rape-Accused Noida Man, Who Ran Over Guard To Escape, Caught In Gurugram https://t.co/ak3ZODuLH7",0.1779,CRIME
66,2022-11-11 19:11:02+00:00,"Rape-Accused Noida Man, Who Ran Over Guard To Escape, Caught In Gurugram https://t.co/7RTXOOAWVc https://t.co/18sEitZnj9",0.1779,PARENTING
67,2022-11-11 18:09:22+00:00,Speaking from Lawrence Bishnoi gang you will be kidnapped on Monday Gurugram school chairman gets threat https://t.co/k0aFGF2fuB,-0.5267,POLITICS
68,2022-11-11 17:29:57+00:00,Gurugram: Man beaten to death over old enmity involving dog | Gurgaon News – Times of India https://t.co/6mbWG2jmW5,-0.7717,
69,2022-11-11 17:26:03+00:00,Man Beaten To Death By Nephew Over Enmity Involving Dog: Gurugram Cops https://t.co/z2D0q6Jgd7 https://t.co/FANuA5Qt82,-0.7717,CRIME
70,2022-11-11 16:51:05+00:00,Gurugram: Man beaten to death over old enmity involving dog | Gurgaon News https://t.co/r0zOiY42ZK,-0.7717,CRIME
71,2022-11-11 16:20:06+00:00,Labourer beaten to death in Gurugram - PTI #Labourer #beaten #to #death,-0.9246,SPORTS
