,Time,Tweet,Analysis
0,"12/23/2022, 23:09:15","In Chaitanya Mahaprabhu's life we see that in public He never discussed about Krishna's lila with the gopis. That was very confidential discussion amongst His own circle. So we should remember this, that public may misunderstand this. Therefore we have to present these thing… https://t.co/LnaD8tx5fX",-0.3612
1,"12/23/2022, 22:58:03","🇮🇳To all my friends in India 🇮🇳 

Register for Outcome 2023 to join me and other wonderful humans in Chandigarh!

I'll be talking about how you can start saying ❌NO❌ more often

👉🏽Register here: https://t.co/77boOX0egn

#uxdesign #uxr #womenintech https://t.co/b7FadVNfm0",0.8516
2,"12/23/2022, 22:47:43","Punjab CM Bhagwant Mann convenes key meet on Covid, decides to set up state-level control room in Chandigarh, appeals people to wear masks https://t.co/Vf8WX8tCaZ",0.0
3,"12/23/2022, 22:46:20","#VerifyAadhaarBeforeUsage

To avoid any kind of potential fraud or scam, verify the genuineness of any presented #Aadhaar before accepting.

You can easily verify it by Scanning the QR Code available on all forms of Aadhaar through #mAadhaar App or Aadhaar QR Scanner.

@UIDAI https://t.co/G5qIWDsPJH",-0.6908
4,"12/23/2022, 22:07:53","@Ishaqzaadiii @sargun_mehta @ColorsTV This is why I am saying I don't want him again in Chandigarh Because Firstly SarVi are very bad producers trust me on this , secondly Mumbai is base and post BB Ankit can do multiple things in Mumbai 

Phir Chandigarh jakar kya kareh udher he can't even attend awards shows",-0.4463
5,"12/23/2022, 21:59:01","Contact for quit drugs and alcohol 👍

#Mentalhealth #DRUGS #addictionrecovery #SayNoToDrugs #recoveryispossible #Haryana #Punjab #HimachalPradesh #Uttarakhand #UttarPradesh #Chandigarh https://t.co/HHuERm9N6K",0.0
6,"12/23/2022, 21:47:15","And for God sake Don't take away the limelight and fame of Ankit by again putting him in SarVi show and sending him to Chandigarh

It's his time to shine and stay in Mumbai

@sargun_mehta
Find another hero please 

#BB16 
@ColorsTV",0.872
7,"12/23/2022, 21:07:04","@Medha53183010 @_ravidubey @sargun_mehta Pura fake news,Ravi knows he is going BB why would he offer ankit drama?and the shoot is in Chandigarh? come on man..so fake",-0.8385
8,"12/23/2022, 20:24:30","any Chandigarh Ankit fan meh Ankit ka address share Kar thu hu Jake ek baar check karna light on h off h flat ki? 
NO ANKIT NO BIGG BOSS #priyankit",0.4382
9,"12/23/2022, 20:21:35","Cabinet approves MSP for Fair Average Quality of milling copra at ₹10,860/- per quintal &amp; for ball copra at ₹11,750/- per quintal for 2023 season

It's a progressive step towards ensuring better remunerative returns to coconut growers

https://t.co/Xr7Kgj5Mwv

#CabinetDecisions https://t.co/jVbLJuFz9N",0.8402
10,"12/23/2022, 20:21:35","To inspire youth to join Armed Forces, the Union Cabinet approves the revision of the pension of Defence Forces Personnel/family pensioners under 'One Rank One Pension' with effect from July 01, 2019.

Details: https://t.co/RSpesMn7fZ

#CabinetDecisions #OROP https://t.co/TuN3T4oEXH",0.8402
11,"12/23/2022, 19:56:43","Just posted a photo @ Chandigarh, India https://t.co/cZStsIr8N9",0.0
12,"12/23/2022, 19:48:25",@medico_sane @ColorsTV Bhai Kuch channel bol rahe hai ki Ankit already signed colors serial before coming to BB. Whose shoot to start in chandigarh. Ye toh PCc aur Ankit ko BB se phle hi pata hoga. Phir itna drama kyu by BB and PCc? Daya Kuch toh gadbad hai..,-0.34
13,"12/23/2022, 19:18:17","It's 9 Degrees❄️, Fog😶‍🌫️ &amp; Chandigarh🤩.

#Chandigarh #travelling #traveltips #WINTER #youtubeshorts #YouTubeの続きも #YouTubeRewind #ContentCreator #content #fog #indian #India https://t.co/q1XI4HAe8x",0.0
14,"12/23/2022, 19:17:32",@eyehinakhan Chandigarh University I am coming be ready mf*,0.3612
15,"12/23/2022, 19:13:27",@Maddyristraa @airtelindia WiFi is working perfectly fine but mobile network is not.,0.4588
16,"12/23/2022, 19:08:24","Chandigarh. Punjab Chief Minister Bhagwant Mann held a meeting here on Friday to review the situation related to COVID-19. # # # # # # # # #

https://t.co/T5KZ0WBDc9",0.0
17,"12/23/2022, 19:07:01",@Aan_YagyaYuIIya @ravishndtv Maybe @ndtv is still paying him secretly for his previous work.,0.0
18,"12/23/2022, 19:05:16",@Telugu_Veera @Aan_YagyaYuIIya From 1952,0.0
19,"12/23/2022, 19:03:24",@Airtel_Presence @airtelindia the internet doesn't work (sector 15 chandigarh) and neither does your customer care. I've been trying to complain through your app but apparently it doesn't do anything apart from telling me that someone will call and resolve (which never happens).,0.5789
20,"12/23/2022, 19:03:16",@GurdeepMaan79 @elonmusk Agreed on that paji,0.2732
21,"12/23/2022, 19:01:33",@Aan_YagyaYuIIya @Telugu_Veera I have seen older,0.0
22,"12/23/2022, 18:57:01","Saturday Night Fever, White Throated Fantail, Chandigarh. @cbcchandigarh @Indianwildlifeo @NikonIndia @OrnithophileI @NatGeoIndia @IndiAves @WCT_India @birdcountindia @Team_eBird @MacaulayLibrary @WildlifeMag @wildbirdtrust #BBCWildlifePOTD https://t.co/27XkpogGZS",0.0
23,"12/23/2022, 18:56:46","Just posted a photo @ Chandigarh, India https://t.co/uf3zcr2Bdb",0.0
24,"12/23/2022, 18:50:23","@bhogleharsha Wish you had told one Mr Boycott this correct pronunciation.
Actually it's Panjab (yes the same as in Panjab University, Chandigarh. Some Englishman butchered the spelling replacing the first 'a' with a 'u'!",0.5255
25,"12/23/2022, 18:48:19",30k cr investment in nine months: Bhagwant Mann #PunjabChiefMinister #BhagwantMann #Punjab #Chandigarh https://t.co/JFktNcx2Ao,0.0
26,"12/23/2022, 18:47:31","Chandigarh is still having internet problems in year 2022
@netplusofficial is down from last night and customer care numbers are busy. Imagine working from home in this situation with no ETA on service restoration. There are no other ISPs available here
@MCChandigarh @DoT_India",-0.4404
27,"12/23/2022, 18:40:14","Ankit will soon be seen in Colors next Show.

Ankit has been roped in to play the male lead in Sargun Mehta and Ravie Dubey’s next Show. He is expected to leave for Chandigarh to shoot the promo of the show really soon.

#AnkitGupta #BB16",-0.0516
28,"12/23/2022, 18:38:20",@BruceWayne_BBSR @BBSRBuzz Leave others. Bhubaneswar was planned along with Chandigarh. The designer was also the same. You can compare as you like. The result is the same. We are far behind. Decades lost with no development. Tier 2 cities like Kochi and Indore are faring way above us in stats. 😒,0.0772
29,"12/23/2022, 18:24:13",Worst food delivery in Chandigarh?,-0.6249
30,"12/23/2022, 18:21:56","The toughest ask for a Chandigarh resident is to shift to Delhi.

People can happily move to US/Canada/Australia from Chd but Delhi - nahhh ✋✋",0.8945
31,"12/23/2022, 18:17:35","Breaking #BiggBoss16   

 #AnkitGupta will be back on #ColorsTV soon, he has been roped in to play the male lead in #SargunMehta and #RaviDubey’s next. He is expected to leave for Chandigarh soon for the shooting",0.296
32,"12/23/2022, 18:15:38","KIYG 2022 (Men’s U18), qualifiers: UP Hockey, Hockey Chandigarh, Hockey MP register win #KIYG #up #hockeyindia https://t.co/HKGZBE5cwT",0.5859
33,"12/23/2022, 18:15:00","Citizens are also requested to always give safe passage to #emergencyvehicles to go by easily and don't pilot or tailgate an #emergencyvehicles.
#WeCareForYou",0.6486
34,"12/23/2022, 18:14:53","causes obstruction in free flow of traffic, traffic congestions, endangering one's own life and life of other life road users by this act of parking vehicle on the road which leads to road crash.",0.1531
35,"12/23/2022, 18:14:40","not park near #busstop, #school #hospitalentrance #cycletrack #UTurn #sliproad #footpath or #zebracrossing. Parking on footpaths forces #pedestrian to walk on the road, making them vulnerable to road crashes. parking vehicles on roads infringes the #rightofway of other #roadusers",-0.2263
36,"12/23/2022, 18:13:56","Today @trafficchd conducted a Special #roadsafetyawareness drive in Sec 08 and Sec 09CHD, regarding proper #parking of #Motorvehicle in the designated #parking area or market parking. #appealing to residents park their motor vehicles inside the front premises of their houses and https://t.co/USCRTxVFOC",0.4019
37,"12/23/2022, 18:13:25",Happy birthday to me 🥺,0.5719
38,"12/23/2022, 18:10:08",this 🤏 close to buying a pair of replica Chandigarh chairs.,0.0
39,"12/23/2022, 18:09:53",@MistressShaifa1 Chandigarh and ludhiana mam full day,0.0
40,"12/23/2022, 18:07:25","@zoyakijaanRD Chandigarh

STOP HUMILIATING SUMBUL",-0.7065
41,"12/23/2022, 17:55:03","Now, check liquor bottle details with mobile app in Punjab https://t.co/YWz9sHFFjV",0.0
42,"12/23/2022, 17:52:10","LIVE Q&amp;A PGI, Chandigarh | COVID-19 Variants and Immunity | Dr Inusha Panigrahi, Prof, Pediatrics
#Covid19 #VariantsandImmunity #TheRightDoctors #TRD #LiveQandA
Link: https://t.co/b9w1x4SyvR",0.0
43,"12/23/2022, 17:47:40","UBS, Panjab University,organized it’s Silver Jubilee &amp; Alumni Meet today. Prof. Raj Kumar, VC, Panjab University was the chief guest &amp; Prof. B.K. Kuthiala, Chairman, Haryana State Higher Education Council was the guest of Honour. Prof. Sanjay Kaushik, Chairperson, UBS informed. https://t.co/P3Lrv1lkm9",0.5719
44,"12/23/2022, 17:43:34","Motor Vehicle Driving Regulation 2017. Citizens are also requested to always give safe passage to #emergencyvehicles to go by easily and don't pilot or tailgate an #emergencyvehicles.
#WeCareForYou",0.6486
45,"12/23/2022, 17:43:00","causes obstruction in free flow of traffic, traffic congestions, endangering one's own life and life of other life road users by this act of parking vehicle on the road which leads to road crash. Citizens were educated about provisions of Rule 3, Rule 5(5), (14) &amp; Rule 22 of the",0.1531
46,"12/23/2022, 17:42:50","not park near #busstop, #school #hospitalentrance #cycletrack #UTurn #sliproad #footpath or #zebracrossing. Parking on footpaths forces #pedestrian to walk on the road, making them vulnerable to road crashes. parking vehicles on roads infringes the #rightofway of other #roadusers",-0.2263
