,Time,Tweet,Analysis
0,"12/23/2022, 23:34:20","What is Going on @myogiadityanath 
@PMOIndia ? And You can Still Find People in Central Delhi/Elsewhere @LtGovDelhi @ArvindKejriwal/@HardeepSPuri Gurugram Elsewhere in India @mlkhattar Openly Defecating All Over- Stop Your India is ODF Misleading Propaganda @PMOIndia 
@PMO_NaMo https://t.co/m6VPFwm0Ti",-0.7096
1,"12/23/2022, 23:06:05",Hiring for Sales Consultant (Inbound)in Gurugram  Sharda IT Services 2-4 years https://t.co/KdLxh43q2c,0.0
2,"12/23/2022, 22:53:58","Members of Hindutva organisation Bajrang Dal members prevented Muslims from offering Friday prayers in Gurugram’s Sector 69, despite the fact that they have permission from the authorities to pray at the open site. 

#India #Islamophobia #Islamophobia_in… https://t.co/7ndxCG6M5A",0.34
3,"12/23/2022, 22:44:43","@DC_Gurugram @TrafficGGM @AmitKhatriIAS. Dear Sir, 2nd last flyover after toll towards Sohna is pitch black at night even after street lights being installed. Please help switch them ON for all residents and driver's safety. https://t.co/daHN6Zskk8",0.8555
4,"12/23/2022, 22:39:41",@OpIndia_com Are there no mosques in Gurugram?,-0.296
5,"12/23/2022, 22:09:59",@LcxQnt @montymetzger @lcx @coinbase @BlackRock Yes sir all of Gurugram is working hard towards the black rock,0.3182
6,"12/23/2022, 21:37:32","Sir, this has been delayed already by so many years. Please ask the officials to their work done on time. Most of the people vote BJP for infrastructure development only. Please don’t make lives of people tough in Gurugram. https://t.co/V1i5WQbELu",0.3535
7,"12/23/2022, 21:36:57","Is Gurugram Police helping accused of https://t.co/9VWx1EwT65 Between the lines

https://t.co/xUwSj0Afur
Source : ""Samachar Express broadcasting""
@DGPHaryana @DGPPunjabPolice @DgpChdPolice @cmohry @CMOPb @anilvijminister @barandbench @barcouncilindia @police_haryana @DC_Gurugram",0.0
8,"12/23/2022, 21:33:33","Gurugram Namaz Controversy: Controversy has once again arisen regarding offering Namaz in the open in Gurgaon, Haryana.  On Friday (December # # # # # # # # # #

https://t.co/3RoG2CFKBT",0.0
9,"12/23/2022, 21:29:59","@narendramodi A Welfare body @MunCorpGurugram is looting People lives in #Gurugram 

@rashtrapatibhvn the Extortion on the name of House Tax from Independent Floors buyers is charged on plot size from each floor.

#भारतजोड़ो_के_संग_दिल्ली 
#18Pages 
#FreeRation 
#CabinetDecisions https://t.co/jLZlR2ssIC",-0.2023
10,"12/23/2022, 21:04:23",#swiggy i am ordered form swiggy mid night rs 1776/- in gurugram very cheap and badquality food. Restaurant aapki rasoi south city gurugram. Swiggy not response this issue and end chat agent not good response and verybad language use on call. @Swiggy @Aapkirasoi6 @fooddeptgoi https://t.co/C4gdlt1RQi,-0.3412
11,"12/23/2022, 20:35:31","To all the people who say ""i LiVe iN dElHi"" when they actually live in cities like Gurugram, Faridabad, Noida,
and Ghaziabad. A gentle reminder (ngl, it may hurt), you are not DELHITES. The place you want and should refer to are Haryana and UP.🙂",0.6133
12,"12/23/2022, 19:52:36","Packers and Movers in Gurgaon | Get Best Movers and Packers in Gurugram
https://t.co/2yGZuUPxBX
#packersmoversgurgaon #moverspackersgurgaon #homeshiftinggurgaon #packersmoversgurugram #householdpackers https://t.co/4ANYi3qLD0",0.6369
13,"12/23/2022, 19:16:18","🚨 #Gurugram: Muslims gather for namaz at a public place in sector 69, #BajrangDal activists retaliate",0.0
14,"12/23/2022, 19:09:39","@RubalpreetDhal2 Hi Rubalpreet, Airtel 5G Plus is live in Delhi, Mumbai, Chennai, Bengaluru, Hyderabad, Siliguri,Nagpur, Varanasi,Gurugram, Panipat, Lucknow, Patna and Guwahati. By the end of next year we will have 5G coverage across all major cities of India&lt;https://t.co/VSGkjckMQT&gt;.Thanks,Abida",0.0
15,"12/23/2022, 18:48:02","@MCManesar @MunCorpGurugram @OfficialGMDA @mlkhattar @DC_Gurugram @gurgaonpolice @cmohry @PMOIndia @HTGurgaon @TOIGurgaon @CPCB_OFFICIAL @GroupVatika Reminder - 3 @MCManesar @CPCB_OFFICIAL @DC_Gurugram @cmohry @mlkhattar @PMOIndia .
No support whatsoever.",-0.3089
16,"12/23/2022, 18:45:18","Creating the ""Winter Wonderland"" wherever we go! @ Gurugram https://t.co/57YPFo0h4U",0.3595
17,"12/23/2022, 18:32:35",@UberINSupport Hi - trying to reach the driver for a bag left in the cab in Gurugram. Unable to reach driver via app route. Pls advise alternative way. Thanks,0.5267
18,"12/23/2022, 18:30:12",Haryana Urban Local Bodies (ULB) Minister Dr Kamal Gupta inaugurated the construction work for the country’s largest waste-to-energy (WTE) plant in Gurugram on Friday. https://t.co/PpY26N0iFh #WasteToEnergyPlant #Gurugram,0.0
19,"12/23/2022, 18:30:03",Require Channel Sales Manager (Automobile Industry ) in Gurugram.  Sharda IT Services 1-2 years https://t.co/dOwf6WrVfI,0.0
20,"12/23/2022, 18:15:42",Gurugram is best. Even kidnappers make ton amount of money there😂 https://t.co/4DsI9eXTKj,0.7964
21,"12/23/2022, 18:13:36",@cartoonistrrs Seriously Gurugram has worst @airtelindia network,-0.7003
22,"12/23/2022, 18:08:55",@ChauanPayal @cmohry @anilvijminister @sudhirsinglabjp @DC_Gurugram RWA works as a Mafia and are protected by District Registrar office .,0.4404
23,"12/23/2022, 18:07:08","RWA in Gurugram are extortion machines with no check
Micro level corruption in NCR need a check 
Attached here a sample dictat for tenants in Gurgaon where they have to pay hafta to RWA before crossing gates of society 
@cmohry
@anilvijminister
@sudhirsinglabjp
@DC_Gurugram https://t.co/RwW74tJv7f",-0.3818
24,"12/23/2022, 17:43:43","Delhi Weather News: Gurugram day and Delhi coldest night, fog will increase in next 48 hours, temperature will drop https://t.co/u8WsdwALwu",0.0516
25,"12/23/2022, 17:31:27","This is from #Sector69, #Gurugram, #Haryana.

#BajrangDal members stopped #Muslims from offering #Namaz (Friday prayers) despite having permission from the authorities.
#JummahNamaz #FridayPrayer https://t.co/pnnnHSkwZX",-0.2263
26,"12/23/2022, 17:30:28","Godrej Properties Ltd has entered into an agreement for the development of 14.27 acres of land in Gurugram, Haryana, with an estimated revenue potential of Rs 3,000 crore.

https://t.co/eimUT9xlJ2",0.4939
27,"12/23/2022, 17:29:36","#ReflectiveGurugram continued today... @gurgaonpolice
@TrafficGGM @police_haryana 
@DGPHaryana https://t.co/tUI9lgtm2U",0.0
28,"12/23/2022, 17:29:06","Day 107

Walking distance 28 Kms

#BharatJodoYatra resumes from Kherli Lala to Badkal Mor | Gurugram to Faridabad | Haryana https://t.co/jIFubZcH9e",0.0
29,"12/23/2022, 17:28:38","Gurugram: Bajrang Dal members raise slogans against people offering namaz in the open, police intervenes
 #bajrangdal #Bajrang #dal #Gurgaon #Gurugram #GurugramNamaz #gurugramnamazcontroversy #intervenes #members #namaz #NamazControversy #offering #op...
https://t.co/1uJlU3zYv2",0.0
30,"12/23/2022, 17:12:44",Just posted a photo @ Gurugram https://t.co/SDoCIdg2l8,0.0
