,Time,Tweet,Analysis
0,"12/23/2022, 22:58:03","Kolkata: 50-year-old Ajanta Circus returns after Covid hiatus

Read @ANI Story | https://t.co/MuvKbcXr7Z

#Kolkata #AjantaCircus #COVID https://t.co/zwiWhhd81y",0.0
1,"12/23/2022, 21:10:38","Party with friends park Street Kolkata.

#Kolkata 
#Cityofjoy
#MunawarFaruqui https://t.co/GdgxPj4z5o",0.7003
2,"12/23/2022, 21:09:18","₹4,000 crore bank fraud: CBI books Kolkata-based private firm based on Union Bank of India's complaint",-0.7184
3,"12/23/2022, 20:28:48","𝓭𝓱𝔀𝓪𝓷𝓲...
Today it was a proud moment to host one of the most accomplished &amp; acclaimed khatak performer on our land at KalaMandir, Kolkata.

A stunning solo performance by @misra_vaswati 

https://t.co/6DD5bWFNGg https://t.co/n1UzWMCsJ6",0.8357
4,"12/23/2022, 19:37:29","IPL 2023 Auction: After being 'thrown away' by CSK, N Jagadeesan ready to take on new challenge with Kolkata Knight Riders
@IPL @Jagadeesan_200
#IPLAuctions #IPL2023Auction
https://t.co/RcTX7r5zPD https://t.co/pMcTdFNs9j",0.4215
5,"12/23/2022, 19:18:19","Modi is coming to Kolkata to inaugurate Vande Bharat express on the 29th. While we were promised Bullet trains we get Vande Bharat. Without track improvements, speed designs what difference does this train bring to the table. https://t.co/B7pps3bHAU",0.1376
6,"12/23/2022, 19:15:49",Kolkata is special this time of the year. https://t.co/NAAKdPyN08,0.4019
7,"12/23/2022, 18:53:48","Glimpses of the event 'Strokes and Strings' held at the Victoria Memorial Hall on 19 December 2022, in collaboration with @FaberCastell.

@MinOfCultureGoI 
@AAKSarod  
@AmaanAliBangash 
@AyaanAliBangash  
@showhouselive 

#VictoriaMemorialHall #sarod #painting #pareshmaity https://t.co/ZYRKOX2jRL",0.0
8,"12/23/2022, 18:51:29",@kcbonby @ChampionsLeague @Cristiano So if you worked hard you can do this right?,-0.1027
9,"12/23/2022, 18:27:35","*BREAKING NEWS FOR INDIAN YOUTH.

IDCA PROMOTES YOUTH EMPOWERMENT IN SPORTS FOR THE DEAF.

Indian Deaf Cricket Association proudly announces, ‘IDCA 4th T20 Deaf Premier League’ which will be held in Kolkata (West Bengal) from 24 to 27 April 2023. https://t.co/rkf4fVoi3B",0.7739
10,"12/23/2022, 18:14:09","Duare Sarkar Camp - Venue List for Saturday, 24.12.2022

#DuareSarkar https://t.co/rAF65EeChw",0.0
11,"12/23/2022, 17:54:08","#KolkataTramways - the first of its kind in Asia - has some unique characteristics. Know what are they!

Join us for the 150th anniversary celebration of Kolkata Tramways  (@SwitchONIndia, tomorrow at Mahajati Sadan. Tag us on ur pictures, if you visit the location on the event. https://t.co/xYePP7AFbE",0.7088
12,"12/23/2022, 17:47:02",spent the day at kolkata police museum archives and acquired (among much wisdom) a solid dust allergy,0.6124
13,"12/23/2022, 17:44:15",Litton Das at 50L is a steal. Especially if you play on batting friendly decks like Kolkata at least 7 times. Should play from the first match but Gurbaz will start ahead of him,0.5076
14,"12/23/2022, 17:28:51","Park Street, #Kolkata 

#Christmas2022 @kolchristmas https://t.co/5bjGehemox",0.0
15,"12/23/2022, 17:20:47","The best thing about this team is as a supporter you wont have any hope, thus you will not get disappointed !! The sports crazy people of Kolkata &amp; Bengal deserves a better team . https://t.co/sHn0mdwrey",0.8192
16,"12/23/2022, 17:20:30","I love this film: 'Burqa Boxers'’ 
SYNOPSIS
In Kolkata, where marriage is considered the ultimate feminine career fulfillment, 4 young Muslim women challenge stereotypes by learning to box w/ 1 of India’s first female boxing coaches. 
https://t.co/nu5hNdcs6W via @mubi",0.6705
17,"12/23/2022, 17:18:51","Kolkata has the best and cheapest street food.

Prove me wrong.",0.2732
18,"12/23/2022, 17:08:53","Kolkata  at night

Picture taken by me https://t.co/lnpgu38eaD",0.0
19,"12/23/2022, 16:59:38","That time of the year when Park Street gets decorated to its fullest!!

#Christmas2022 #Kolkata #Calcutta #parkstreet @Suhelseth #carols #pretty @SankarshanT @ShantanuEditor https://t.co/M1S1QhVZFU",0.5837
20,"12/23/2022, 16:57:56","What are your views about Kolkata Knight Rider’s squad? 🤔

#CricketTwitter #IPL #kkr https://t.co/3OhPjZm759",0.0
21,"12/23/2022, 16:56:21",Famous insta girls content available https://t.co/rjS3VuRhmi,0.0
22,"12/23/2022, 16:54:09","👉Under the National Food Security Act, food grains will be available free of cost to 81.35 crore beneficiaries till December 2023

The entire expenditure of ₹2 lakh crore will be borne by the Central Government:@PiyushGoyal 
#CabinetDecisions https://t.co/urGqBK0kaj",0.8176
23,"12/23/2022, 16:50:03",In #Kolkata a #church celebrates inclusivity with #Hindu alpona art conceptualised by a #Muslim ! https://t.co/2Oajd49gUx,0.6114
24,"12/23/2022, 16:43:17","@HananyaNaftali Yes, and there are some beautiful synagogues in India as well.  I have an aunt who lived in Kolkata for a few years and loved it.",0.9118
25,"12/23/2022, 16:30:15",Today's Press Conference at KMC Headquarters https://t.co/cCbDh1GCo3,0.0
26,"12/23/2022, 16:28:57","#GoodNewsToday | City of Joy all decked up for Christmas! Message of harmony from Kolkata. More in this report.

#NewsToday | @PreetiChoudhry @Suryavachan https://t.co/zsU8AkBaUh",0.7777
27,"12/23/2022, 16:09:41","Kolkata Knight Riders purchased Litton Das and Shakib Al Hasan, making it the first time an IPL team has two Bangladesh players.
#IPLAuction",0.0
28,"12/23/2022, 16:05:32","@known_as_KT ,@arjunkumar318 ,

Thank you Arjun bhiya for reference.. lots of love from Kolkata ❣️💕 https://t.co/WpThX9QYp2",0.9451
29,"12/23/2022, 15:59:32","Litton Das and Shakib both in Kolkata knight riders 
Noice",0.0
30,"12/23/2022, 15:53:52",KOLKATA KNIGHT RIDERS YOU’VE ROCKED MY WORLDDD,0.0
31,"12/23/2022, 15:48:38","KKR seeing PBKS returning from auction with a purse of INR 12.20 Cr, twice more than Kolkata spent.

#IPL2023 | #IPLAuctions2023 | #IPLAuctions https://t.co/9FdtUOzMd5",0.0
32,"12/23/2022, 15:45:50","@BaytAlFann Being from Kolkata and having acquaintance with College Street, I deeply value these book markets or streets which manifest books. I am now tenfold more interested in Baghdad for this street alone. Meanwhile, can someone suggest me anything to know about this market?",0.5699
33,"12/23/2022, 15:39:00","The return to Kolkata that left us 'Shak'ing🥹

#TATAIPL #TATAIPLAuction #IPL2023Auction #ShakibAlHasan",0.0
