Time,Tweet,Likes
2022-12-15 18:53:20+00:00,"#Rebel4K Special Fans show Bookings Opened at Prasanna Theater Magadi Road Bangalore 🤟💥

This Sunday at 8Am Book your tic…",0
2022-12-15 18:53:18+00:00,Christmas in Bangalore been always fun to roam and chill around hoping this year with similar vibes,0
2022-12-15 18:52:37+00:00,genzvcs let me know if we can plan something in India #Bangalore #Delhi,0
2022-12-15 18:52:30+00:00,"#IMAfraudCase We Want 💯% Recovery &amp; Refund our Principal Amount.We are struggling. 
 #IMAFullRefund @CMofKarnataka @NEWS9TWEETS @powertvnews @TimesNow @ifarhanrasheed @Tv9kannadanews @timesofindia @DeccanHerald @th_bangalore @ndtv @htTweets @CourtKarnataka @ArshadRizwan",0
2022-12-15 18:52:06+00:00,"Saw a Scorpio with Nazi emblem in Bangalore today. Things are getting wild out here. 

(Cannot really give the 'hindu…",0
2022-12-15 18:51:58+00:00,"Saw a Scorpio with Nazi emblem in Bangalore today. Things are getting wild out here. 

(Cannot really give the 'hindu…",0
2022-12-15 18:51:45+00:00,"""We don't nourish cows, in fact, Gaay Humein Paalti Hai.""~Sant Shri Asharamji Bapu

#Ashram #Trust #Bengaluru conducted a Ga…",0
2022-12-15 18:51:40+00:00,"NimmaShivanna @ArjunJanyaMusic Have a safe trip back to Bangalore Mr.Handsome Hodophile🚘😊
@KicchaSudeep ❤
#Ki…",0
2022-12-15 18:50:31+00:00,No. I was always born in Bangalore India.,0
2022-12-15 18:50:25+00:00,"I am Rashmi Ranjan Sahoo from India (Bangalore), have been fighting for @itsSSR #JusticeForSushantSinghRajput movement…",0
2022-12-15 18:50:08+00:00,"#SOS
#Bangalore
Need #Blood Type :  O-positive
Blood Component : Blood 
Number of Units : 2
Primary Number : 8019422402…",0
2022-12-15 18:50:06+00:00,No. I was always born in Bangalore India. https://t.co/jcVJB94P1N,8
2022-12-15 18:50:01+00:00,"Gallants of the hill;a dawn of knowledge &amp; skills,the Bangalore of Engineers,let's to this! Today,it being a day to mark…",0
2022-12-15 18:49:57+00:00,"Dear @Tejasvi_Surya. Great recommendation. But before that, can you please tell us by when that Ejipura flyover will be done…",0
2022-12-15 18:49:52+00:00,DisneyStudiosIN Rs 1650 ticket price in Bangalore.😱,0
2022-12-15 18:49:33+00:00,"I am Rashmi Ranjan Sahoo from India (Bangalore), have been fighting for @itsSSR #JusticeForSushantSinghRajput movement…",0
2022-12-15 18:49:26+00:00,"DarshanRavalDZ The first time I saw him was in 2020 , a clip of him performing him Bangalore 2019 and now he’s performing again there - His first tour I mean , idk mixed emotions all I can pour at the moment is that I’m soo proud of him , hope someday I’ll make it too 💙🧿 until then virtually",0
